# Порядок вычитки: сверху вниз. Первая порция — самые частые слова.
порция	язык	слов	первое	последнее	частота_первого	частота_последнего	с_подсказкой	файл
ru-027	русская	200	позорить	полюбите	541	421	9	docs/review-batches/ru/ru-027.tsv
ru-028	русская	200	важней	стыдишься	416	524	8	docs/review-batches/ru/ru-028.tsv
ru-029	русская	200	трусиха	признаёте	524	479	6	docs/review-batches/ru/ru-029.tsv
ru-030	русская	200	видишься	герра	478	431	5	docs/review-batches/ru/ru-030.tsv
ru-031	русская	200	записываем	сойдешь	431	394	4	docs/review-batches/ru/ru-031.tsv
ru-032	русская	200	халапеньо	американо	392	383	3	docs/review-batches/ru/ru-032.tsv
ru-033	русская	200	надави	бесчувственный	383	359	10	docs/review-batches/ru/ru-033.tsv
ru-034	русская	200	сияющий	жрет	359	361	5	docs/review-batches/ru/ru-034.tsv
ru-035	русская	200	проткнуть	вырвется	361	352	6	docs/review-batches/ru/ru-035.tsv
ru-036	русская	200	вое	чреве	351	341	11	docs/review-batches/ru/ru-036.tsv
ru-037	русская	200	жмет	столику	338	338	4	docs/review-batches/ru/ru-037.tsv
ru-038	русская	200	накосячил	присмотрись	337	355	8	docs/review-batches/ru/ru-038.tsv
ru-039	русская	200	кленовый	дилером	351	346	4	docs/review-batches/ru/ru-039.tsv
ru-040	русская	200	неженка	поднимаешься	346	360	7	docs/review-batches/ru/ru-040.tsv
ru-041	русская	200	правша	принесёте	360	385	4	docs/review-batches/ru/ru-041.tsv
ru-042	русская	200	бульдог	забегу	384	437	10	docs/review-batches/ru/ru-042.tsv
ru-043	русская	200	убрались	катаемся	435	313	11	docs/review-batches/ru/ru-043.tsv
ru-044	русская	200	мутный	злились	313	350	13	docs/review-batches/ru/ru-044.tsv
ru-045	русская	200	блинчик	арахиса	347	404	7	docs/review-batches/ru/ru-045.tsv
ru-046	русская	200	запрут	высади	404	297	5	docs/review-batches/ru/ru-046.tsv
ru-047	русская	200	поддерживай	нюхает	297	349	8	docs/review-batches/ru/ru-047.tsv
ru-048	русская	200	пакуй	пожалеем	349	249	6	docs/review-batches/ru/ru-048.tsv
ru-049	русская	200	люке	переживут	247	316	11	docs/review-batches/ru/ru-049.tsv
ru-050	русская	200	помешательство	пугайтесь	316	388	4	docs/review-batches/ru/ru-050.tsv
ru-051	русская	200	жути	хлопают	387	291	6	docs/review-batches/ru/ru-051.tsv
ru-052	русская	200	благодаришь	грез	290	365	7	docs/review-batches/ru/ru-052.tsv
ru-053	русская	200	дрожал	жонглировать	365	281	3	docs/review-batches/ru/ru-053.tsv
ru-054	русская	200	подпускай	толстячок	281	365	12	docs/review-batches/ru/ru-054.tsv
ru-055	русская	200	коням	разорви	364	270	7	docs/review-batches/ru/ru-055.tsv
ru-056	русская	200	фальшивки	подачки	270	353	10	docs/review-batches/ru/ru-056.tsv
ru-057	русская	200	тов	сосут	353	271	11	docs/review-batches/ru/ru-057.tsv
ru-058	русская	200	помещу	требуете	270	420	9	docs/review-batches/ru/ru-058.tsv
ru-059	русская	200	смутить	стянуть	413	277	6	docs/review-batches/ru/ru-059.tsv
ru-060	русская	200	переносишь	раздевается	276	217	9	docs/review-batches/ru/ru-060.tsv
ru-061	русская	200	хорёк	сбрендил	217	294	6	docs/review-batches/ru/ru-061.tsv
ru-062	русская	200	нажраться	разбогатею	293	242	7	docs/review-batches/ru/ru-062.tsv
ru-063	русская	200	трахаетесь	наседать	242	131	10	docs/review-batches/ru/ru-063.tsv
ru-064	русская	200	генерале	горим	121	264	8	docs/review-batches/ru/ru-064.tsv
ru-065	русская	200	предвидели	подпускает	264	219	9	docs/review-batches/ru/ru-065.tsv
ru-066	русская	200	познали	подделала	219	304	14	docs/review-batches/ru/ru-066.tsv
ru-067	русская	200	пьяниц	холмам	304	250	16	docs/review-batches/ru/ru-067.tsv
ru-068	русская	200	хрусталь	испачкался	250	206	8	docs/review-batches/ru/ru-068.tsv
ru-069	русская	200	несутся	залатать	206	298	9	docs/review-batches/ru/ru-069.tsv
ru-070	русская	200	канапе	конченный	298	240	7	docs/review-batches/ru/ru-070.tsv
ru-071	русская	200	поцелуйчик	беззащитной	240	199	10	docs/review-batches/ru/ru-071.tsv
ru-072	русская	200	бейджик	преступницей	199	318	7	docs/review-batches/ru/ru-072.tsv
ru-073	русская	200	ловкач	огорчил	316	246	7	docs/review-batches/ru/ru-073.tsv
ru-074	русская	200	ослепила	советуете	246	210	12	docs/review-batches/ru/ru-074.tsv
ru-075	русская	200	разругались	кутить	209	161	7	docs/review-batches/ru/ru-075.tsv
ru-076	русская	200	мщения	отступиться	161	250	11	docs/review-batches/ru/ru-076.tsv
ru-077	русская	200	побледнел	клятвой	250	216	6	docs/review-batches/ru/ru-077.tsv
ru-078	русская	200	разделяете	каштан	216	182	7	docs/review-batches/ru/ru-078.tsv
ru-079	русская	200	мозолей	клубничное	182	292	14	docs/review-batches/ru/ru-079.tsv
ru-080	русская	200	указываешь	подставишь	292	226	5	docs/review-batches/ru/ru-080.tsv
ru-081	русская	200	сплетницы	устрашающе	226	197	9	docs/review-batches/ru/ru-081.tsv
ru-082	русская	200	хлопайте	закроемся	197	166	12	docs/review-batches/ru/ru-082.tsv
ru-083	русская	200	нарвались	нассал	166	263	10	docs/review-batches/ru/ru-083.tsv
ru-084	русская	200	петухи	придумывала	263	220	12	docs/review-batches/ru/ru-084.tsv
ru-085	русская	200	аферистка	отвлекись	219	192	7	docs/review-batches/ru/ru-085.tsv
ru-086	русская	200	отпираться	укрывательство	192	170	12	docs/review-batches/ru/ru-086.tsv
ru-087	русская	200	хрустальные	избушка	170	121	13	docs/review-batches/ru/ru-087.tsv
ru-088	русская	200	пересеку	обжечься	121	228	12	docs/review-batches/ru/ru-088.tsv
