# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
арцт	2	6	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
булышсаң	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.17	no	single-source	OpenSubtitles
күтеңне	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
тылсымчылар	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
хәтерләр	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
эшләмисең	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
ярдәмеңнән	2	6	6	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
үкенерсең	2	6	6	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
үтермә	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
үтерәчәксең	2	6	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
берегезгә	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
берсесе	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
велосипедымны	2	5	5	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
йоханссен	2	5	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
качтык	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
краглин	2	5	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
күзлим	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күчерегез	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
көчәнә	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
мирдин	2	5	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
нәмәзмәтләр	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
оргокорп	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
робо	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
саранның	2	5	5	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
торетто	2	5	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
җиңәчәкмен	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
әйтәсегез	2	5	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
аңламадыгыз	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
квинджетка	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
кискеч	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
киштәдән	2	4	4	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
криптон	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күзәттеңме	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
күте	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
мурзасы	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
пепси	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.50	no	proper-noun-evidence	cap_ratio=0.50>=0.50
песием	2	4	4	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
сандвич	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
суламый	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
сындырам	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
тыңлыйсыңмы	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
уйлыйсыңдыр	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
чыгарырмын	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
шартлаттым	2	4	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
ялгышканын	2	4	4	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
алдаудан	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
алдыйсыңмы	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
алмыйчаксыз	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
алыштырыгыз	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
булыштыгыз	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
джейкобның	2	3	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
дженифер	2	3	0	OpenSubtitles	risk-accepted:no-grant	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
зэпп	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
койрыгыннан	2	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
коралың	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
коткарачакбыз	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
куясыңмы	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
пикассо	2	3	3	Tatoeba	clean:CC-BY-2.0-FR	1.00	no	proper-noun-evidence	cap_ratio=1.00>=0.50
рамлоу	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
сандерс	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
сындырасың	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
табигатең	2	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
тарлавыгы	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.67	no	proper-noun-evidence	cap_ratio=0.67>=0.50
