# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
кучку	83	715	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
задниц	83	687	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
соджу	83	624	0	OpenSubtitles	risk-accepted:no-grant	0.04	yes	single-source	OpenSubtitles
проснешься	82	924	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
вообщем	82	771	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
онрнлс	82	666	0	OpenSubtitles	risk-accepted:no-grant	0.78	yes	proper-noun-evidence	cap_ratio=0.78>=0.50
сраных	82	651	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
четвертак	81	791	0	OpenSubtitles	risk-accepted:no-grant	0.02	yes	single-source	OpenSubtitles
еямбй	81	783	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
напарница	81	773	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
кузеном	81	769	0	OpenSubtitles	risk-accepted:no-grant	0.01	yes	single-source	OpenSubtitles
