# ПРИНЯТО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
ишетәсезме	3	20	3	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
дустыңны	3	19	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
куркасыңмы	3	19	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
танышмы	3	19	11	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
әйтмәдегез	3	19	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
босс	3	18	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
әйткәнемне	3	18	7	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.06	yes	two-corpora	OpenSubtitles+Tatoeba
кыланма	3	17	5	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
сөйләшәме	3	17	13	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
уйламадыңмы	3	17	2	OpenSubtitles+Tatoeba	clean:CC-BY-2.0-FR	0.00	yes	two-corpora	OpenSubtitles+Tatoeba
